Time(s),Node,RSSI(dBm),TransmissionPower(dBm),PacketCount,BatteryLevel(%)
7,18,-91,20,0,93
7,19,-106,20,0,93
8,0,-102,20,0,92
8,1,-99,20,0,92
8,2,-98,20,0,92
8,3,-101,20,0,92
8,4,-107,20,0,92
8,5,-91,20,0,92
8,6,-100,20,0,92
8,7,-102,20,0,92
8,8,-102,20,0,92
8,9,-95,20,0,92
8,10,-110,20,0,92
8,11,-101,20,0,92
8,12,-94,20,0,92
8,13,-107,20,0,92
8,14,-92,20,0,92
8,15,-105,20,0,92
8,16,-104,20,0,92
8,17,-99,20,0,92
8,18,-109,20,0,92
8,19,-95,20,0,92
9,0,-91,20,0,91
9,1,-102,20,0,91
9,2,-106,20,0,91
9,3,-102,20,0,91
9,4,-109,20,0,91
9,5,-100,20,0,91
9,6,-97,20,0,91
9,7,-110,20,0,91
9,8,-96,20,0,91
9,9,-106,20,0,91
9,10,-106,20,0,91
9,11,-96,20,0,91
9,12,-103,20,0,91
9,13,-94,20,0,91
9,14,-107,20,0,91
9,15,-99,20,0,91
9,16,-103,20,0,91
9,17,-105,20,0,91
9,18,-91,20,0,91
9,19,-94,20,0,91
10,0,-98,20,0,90
10,1,-99,20,0,90
10,2,-93,20,0,90
10,3,-102,20,0,90
10,4,-95,20,0,90
10,5,-103,20,0,90
10,6,-96,20,0,90
10,7,-109,20,0,90
10,8,-92,20,0,90
10,9,-95,20,0,90
10,10,-101,20,0,90
10,11,-93,20,0,90
10,12,-95,20,0,90
10,13,-97,20,0,90
10,14,-92,20,0,90
10,15,-102,20,0,90
10,16,-107,20,0,90
10,17,-99,20,0,90
10,18,-102,20,0,90
10,19,-101,20,0,90
11,0,-94,20,0,89
11,1,-106,20,0,89
11,2,-107,20,0,89
11,3,-107,20,0,89
11,4,-97,20,0,89
11,5,-92,20,0,89
11,6,-104,20,0,89
11,7,-110,20,0,89
11,8,-106,20,0,89
11,9,-92,20,0,89
11,10,-102,20,0,89
11,11,-102,20,0,89
11,12,-101,20,0,89
11,13,-93,20,0,89
11,14,-93,20,0,89
11,15,-94,20,0,89
11,16,-106,20,0,89
11,17,-107,20,0,89
11,18,-100,20,0,89
11,19,-107,20,0,89
12,0,-100,20,0,88
12,1,-91,20,0,88
12,2,-98,20,0,88
12,3,-105,20,0,88
12,4,-106,20,0,88
12,5,-100,20,0,88
12,6,-105,20,0,88
12,7,-91,20,0,88
12,8,-96,20,0,88
12,9,-104,20,0,88
12,10,-101,20,0,88
12,11,-108,20,0,88
12,12,-108,20,0,88
12,13,-106,20,0,88
12,14,-93,20,0,88
12,15,-103,20,0,88
12,16,-95,20,0,88
12,17,-106,20,0,88
12,18,-102,20,0,88
12,19,-99,20,0,88
13,0,-108,20,0,87
13,1,-102,20,0,87
13,2,-91,20,0,87
13,3,-107,20,0,87
13,4,-104,20,0,87
13,5,-102,20,0,87
13,6,-110,20,0,87
13,7,-108,20,0,87
13,8,-99,20,0,87
13,9,-100,20,0,87
13,10,-105,20,0,87
13,11,-109,20,0,87
13,12,-109,20,0,87
13,13,-100,20,0,87
13,14,-92,20,0,87
13,15,-105,20,0,87
13,16,-110,20,0,87
13,17,-94,20,0,87
13,18,-106,20,0,87
13,19,-104,20,0,87
14,0,-108,20,0,86
14,1,-105,20,0,86
14,2,-102,20,0,86
14,3,-94,20,0,86
14,4,-108,20,0,86
14,5,-92,20,0,86
14,6,-106,20,0,86
14,7,-93,20,0,86
14,8,-108,20,0,86
14,9,-106,20,0,86
14,10,-110,20,0,86
14,11,-94,20,0,86
14,12,-98,20,0,86
14,13,-91,20,0,86
14,14,-91,20,0,86
14,15,-100,20,0,86
14,16,-102,20,0,86
14,17,-99,20,0,86
14,18,-97,20,0,86
14,19,-99,20,0,86
15,0,-109,20,0,85
15,1,-100,20,0,85
15,2,-97,20,0,85
15,3,-96,20,0,85
15,4,-110,20,0,85
15,5,-107,20,0,85
15,6,-91,20,0,85
15,7,-109,20,0,85
15,8,-91,20,0,85
15,9,-94,20,0,85
15,10,-91,20,0,85
15,11,-97,20,0,85
15,12,-97,20,0,85
15,13,-102,20,0,85
15,14,-100,20,0,85
15,15,-95,20,0,85
15,16,-104,20,0,85
15,17,-104,20,0,85
15,18,-106,20,0,85
15,19,-110,20,0,85
16,0,-100,20,0,84
16,1,-106,20,0,84
16,2,-94,20,0,84
16,3,-108,20,0,84
16,4,-94,20,0,84
16,5,-103,20,0,84
16,6,-105,20,0,84
16,7,-94,20,0,84
16,8,-91,20,0,84
16,9,-92,20,0,84
16,10,-103,20,0,84
16,11,-98,20,0,84
16,12,-102,20,0,84
16,13,-98,20,0,84
16,14,-91,20,0,84
16,15,-101,20,0,84
16,16,-94,20,0,84
16,17,-100,20,0,84
16,18,-108,20,0,84
16,19,-103,20,0,84
17,0,-104,20,0,83
17,1,-109,20,0,83
17,2,-97,20,0,83
17,3,-98,20,0,83
17,4,-109,20,0,83
17,5,-95,20,0,83
17,6,-91,20,0,83
17,7,-91,20,0,83
17,8,-109,20,0,83
17,9,-106,20,0,83
17,10,-91,20,0,83
17,11,-99,20,0,83
17,12,-110,20,0,83
17,13,-103,20,0,83
17,14,-105,20,0,83
17,15,-102,20,0,83
17,16,-103,20,0,83
17,17,-100,20,0,83
17,18,-106,20,0,83
17,19,-92,20,0,83
18,0,-110,20,0,82
18,1,-106,20,0,82
18,2,-108,20,0,82
18,3,-101,20,0,82
18,4,-94,20,0,82
18,5,-109,20,0,82
18,6,-100,20,0,82
18,7,-106,20,0,82
18,8,-98,20,0,82
18,9,-98,20,0,82
18,10,-98,20,0,82
18,11,-100,20,0,82
18,12,-105,20,0,82
18,13,-105,20,0,82
18,14,-108,20,0,82
18,15,-91,20,0,82
18,16,-110,20,0,82
18,17,-108,20,0,82
18,18,-92,20,0,82
18,19,-97,20,0,82
19,0,-92,20,0,81
19,1,-100,20,0,81
19,2,-106,20,0,81
19,3,-100,20,0,81
19,4,-101,20,0,81
19,5,-109,20,0,81
19,6,-91,20,0,81
19,7,-94,20,0,81
19,8,-98,20,0,81
19,9,-95,20,0,81
19,10,-96,20,0,81
19,11,-106,20,0,81
19,12,-91,20,0,81
19,13,-101,20,0,81
19,14,-97,20,0,81
19,15,-94,20,0,81
19,16,-100,20,0,81
19,17,-95,20,0,81
19,18,-110,20,0,81
19,19,-108,20,0,81
20,0,-91,20,0,80
20,1,-106,20,0,80
20,2,-97,20,0,80
20,3,-105,20,0,80
20,4,-109,20,0,80
20,5,-103,20,0,80
20,6,-106,20,0,80
20,7,-97,20,0,80
20,8,-109,20,0,80
20,9,-96,20,0,80
20,10,-104,20,0,80
20,11,-91,20,0,80
20,12,-106,20,0,80
20,13,-108,20,0,80
20,14,-108,20,0,80
20,15,-104,20,0,80
20,16,-106,20,0,80
20,17,-109,20,0,80
20,18,-108,20,0,80
20,19,-102,20,0,80
21,0,-102,20,0,79
21,1,-101,20,0,79
21,2,-98,20,0,79
21,3,-102,20,0,79
21,4,-92,20,0,79
21,5,-92,20,0,79
21,6,-94,20,0,79
21,7,-102,20,0,79
21,8,-97,20,0,79
21,9,-102,20,0,79
21,10,-107,20,0,79
21,11,-97,20,0,79
21,12,-97,20,0,79
21,13,-102,20,0,79
21,14,-100,20,0,79
21,15,-96,20,0,79
21,16,-103,20,0,79
21,17,-104,20,0,79
21,18,-102,20,0,79
21,19,-101,20,0,79
22,0,-110,20,0,78
22,1,-104,20,0,78
22,2,-102,20,0,78
22,3,-93,20,0,78
22,4,-101,20,0,78
22,5,-100,20,0,78
22,6,-107,20,0,78
22,7,-97,20,0,78
22,8,-107,20,0,78
22,9,-93,20,0,78
22,10,-97,20,0,78
22,11,-98,20,0,78
22,12,-104,20,0,78
22,13,-105,20,0,78
22,14,-98,20,0,78
22,15,-94,20,0,78
22,16,-95,20,0,78
22,17,-102,20,0,78
22,18,-93,20,0,78
22,19,-101,20,0,78
23,0,-94,20,0,77
23,1,-110,20,0,77
23,2,-96,20,0,77
23,3,-109,20,0,77
23,4,-110,20,0,77
23,5,-106,20,0,77
23,6,-102,20,0,77
23,7,-103,20,0,77
23,8,-100,20,0,77
23,9,-102,20,0,77
23,10,-94,20,0,77
23,11,-108,20,0,77
23,12,-96,20,0,77
23,13,-93,20,0,77
23,14,-91,20,0,77
23,15,-107,20,0,77
23,16,-91,20,0,77
23,17,-108,20,0,77
23,18,-102,20,0,77
23,19,-107,20,0,77
24,0,-110,20,0,76
24,1,-109,20,0,76
24,2,-103,20,0,76
24,3,-92,20,0,76
24,4,-91,20,0,76
24,5,-99,20,0,76
24,6,-95,20,0,76
24,7,-96,20,0,76
24,8,-91,20,0,76
24,9,-98,20,0,76
24,10,-95,20,0,76
24,11,-103,20,0,76
24,12,-106,20,0,76
24,13,-101,20,0,76
24,14,-101,20,0,76
24,15,-106,20,0,76
24,16,-105,20,0,76
24,17,-101,20,0,76
24,18,-107,20,0,76
24,19,-95,20,0,76
25,0,-93,20,0,75
25,1,-110,20,0,75
25,2,-92,20,0,75
25,3,-99,20,0,75
25,4,-101,20,0,75
25,5,-101,20,0,75
25,6,-103,20,0,75
25,7,-102,20,0,75
25,8,-98,20,0,75
25,9,-95,20,0,75
25,10,-107,20,0,75
25,11,-106,20,0,75
25,12,-101,20,0,75
25,13,-100,20,0,75
25,14,-108,20,0,75
25,15,-110,20,0,75
25,16,-109,20,0,75
25,17,-101,20,0,75
25,18,-104,20,0,75
25,19,-98,20,0,75
26,0,-109,20,0,74
26,1,-108,20,0,74
26,2,-110,20,0,74
26,3,-93,20,0,74
26,4,-107,20,0,74
26,5,-109,20,0,74
26,6,-109,20,0,74
26,7,-101,20,0,74
26,8,-100,20,0,74
26,9,-105,20,0,74
26,10,-94,20,0,74
26,11,-103,20,0,74
26,12,-93,20,0,74
26,13,-96,20,0,74
26,14,-100,20,0,74
26,15,-104,20,0,74
26,16,-106,20,0,74
26,17,-93,20,0,74
26,18,-96,20,0,74
26,19,-102,20,0,74
27,0,-105,20,0,73
27,1,-92,20,0,73
27,2,-98,20,0,73
27,3,-104,20,0,73
27,4,-110,20,0,73
27,5,-104,20,0,73
27,6,-104,20,0,73
27,7,-96,20,0,73
27,8,-94,20,0,73
27,9,-98,20,0,73
27,10,-92,20,0,73
27,11,-101,20,0,73
27,12,-104,20,0,73
27,13,-100,20,0,73
27,14,-103,20,0,73
27,15,-100,20,0,73
27,16,-99,20,0,73
27,17,-110,20,0,73
27,18,-99,20,0,73
27,19,-97,20,0,73
28,0,-93,20,0,72
28,1,-103,20,0,72
28,2,-98,20,0,72
28,3,-104,20,0,72
28,4,-96,20,0,72
28,5,-95,20,0,72
28,6,-98,20,0,72
28,7,-100,20,0,72
28,8,-98,20,0,72
28,9,-91,20,0,72
28,10,-100,20,0,72
28,11,-101,20,0,72
28,12,-101,20,0,72
28,13,-96,20,0,72
28,14,-95,20,0,72
28,15,-109,20,0,72
28,16,-110,20,0,72
28,17,-97,20,0,72
28,18,-103,20,0,72
28,19,-102,20,0,72
29,0,-92,20,0,71
29,1,-104,20,0,71
29,2,-100,20,0,71
29,3,-106,20,0,71
29,4,-94,20,0,71
29,5,-93,20,0,71
29,6,-104,20,0,71
29,7,-110,20,0,71
29,8,-101,20,0,71
29,9,-93,20,0,71
29,10,-105,20,0,71
29,11,-91,20,0,71
29,12,-93,20,0,71
29,13,-92,20,0,71
29,14,-105,20,0,71
29,15,-107,20,0,71
29,16,-97,20,0,71
29,17,-92,20,0,71
29,18,-97,20,0,71
29,19,-93,20,0,71
30,0,-101,20,0,70
30,1,-107,20,0,70
30,2,-103,20,0,70
30,3,-92,20,0,70
30,4,-93,20,0,70
30,5,-96,20,0,70
30,6,-99,20,0,70
30,7,-101,20,0,70
30,8,-110,20,0,70
30,9,-91,20,0,70
30,10,-92,20,0,70
30,11,-92,20,0,70
30,12,-105,20,0,70
30,13,-102,20,0,70
30,14,-96,20,0,70
30,15,-97,20,0,70
30,16,-93,20,0,70
30,17,-109,20,0,70
30,18,-97,20,0,70
30,19,-92,20,0,70
31,0,-100,20,0,69
31,1,-91,20,0,69
31,2,-93,20,0,69
31,3,-91,20,0,69
31,4,-101,20,0,69
31,5,-107,20,0,69
31,6,-108,20,0,69
31,7,-96,20,0,69
31,8,-97,20,0,69
31,9,-103,20,0,69
31,10,-99,20,0,69
31,11,-108,20,0,69
31,12,-108,20,0,69
31,13,-100,20,0,69
31,14,-98,20,0,69
31,15,-99,20,0,69
31,16,-93,20,0,69
31,17,-95,20,0,69
31,18,-109,20,0,69
31,19,-93,20,0,69
32,0,-96,20,0,68
32,1,-99,20,0,68
32,2,-103,20,0,68
32,3,-99,20,0,68
32,4,-99,20,0,68
32,5,-109,20,0,68
32,6,-93,20,0,68
32,7,-110,20,0,68
32,8,-96,20,0,68
32,9,-100,20,0,68
32,10,-92,20,0,68
32,11,-105,20,0,68
32,12,-109,20,0,68
32,13,-94,20,0,68
32,14,-94,20,0,68
32,15,-108,20,0,68
32,16,-99,20,0,68
32,17,-91,20,0,68
32,18,-94,20,0,68
32,19,-106,20,0,68
33,0,-92,20,0,67
33,1,-110,20,0,67
33,2,-92,20,0,67
33,3,-109,20,0,67
33,4,-100,20,0,67
33,5,-108,20,0,67
33,6,-98,20,0,67
33,7,-91,20,0,67
33,8,-93,20,0,67
33,9,-105,20,0,67
33,10,-94,20,0,67
33,11,-106,20,0,67
33,12,-94,20,0,67
33,13,-107,20,0,67
33,14,-103,20,0,67
33,15,-91,20,0,67
33,16,-93,20,0,67
33,17,-106,20,0,67
33,18,-91,20,0,67
33,19,-99,20,0,67
34,0,-103,20,0,66
34,1,-100,20,0,66
34,2,-94,20,0,66
34,3,-110,20,0,66
34,4,-92,20,0,66
34,5,-105,20,0,66
34,6,-107,20,0,66
34,7,-101,20,0,66
34,8,-106,20,0,66
34,9,-99,20,0,66
34,10,-105,20,0,66
34,11,-96,20,0,66
34,12,-99,20,0,66
34,13,-95,20,0,66
34,14,-95,20,0,66
34,15,-96,20,0,66
34,16,-101,20,0,66
34,17,-102,20,0,66
34,18,-97,20,0,66
34,19,-92,20,0,66
35,0,-105,20,0,65
35,1,-108,20,0,65
35,2,-108,20,0,65
35,3,-108,20,0,65
35,4,-93,20,0,65
35,5,-100,20,0,65
35,6,-97,20,0,65
35,7,-96,20,0,65
35,8,-104,20,0,65
35,9,-97,20,0,65
35,10,-104,20,0,65
35,11,-97,20,0,65
35,12,-107,20,0,65
35,13,-96,20,0,65
35,14,-96,20,0,65
35,15,-97,20,0,65
35,16,-91,20,0,65
35,17,-93,20,0,65
35,18,-108,20,0,65
35,19,-95,20,0,65
36,0,-102,20,0,64
36,1,-91,20,0,64
36,2,-100,20,0,64
36,3,-98,20,0,64
36,4,-96,20,0,64
36,5,-93,20,0,64
36,6,-104,20,0,64
36,7,-95,20,0,64
36,8,-93,20,0,64
36,9,-99,20,0,64
36,10,-97,20,0,64
36,11,-107,20,0,64
36,12,-97,20,0,64
36,13,-102,20,0,64
36,14,-105,20,0,64
36,15,-99,20,0,64
36,16,-100,20,0,64
36,17,-92,20,0,64
36,18,-93,20,0,64
36,19,-94,20,0,64
37,0,-107,20,0,63
37,1,-95,20,0,63
37,2,-100,20,0,63
37,3,-92,20,0,63
37,4,-100,20,0,63
37,5,-106,20,0,63
37,6,-99,20,0,63
37,7,-109,20,0,63
37,8,-97,20,0,63
37,9,-105,20,0,63
37,10,-101,20,0,63
37,11,-97,20,0,63
37,12,-106,20,0,63
37,13,-99,20,0,63
37,14,-105,20,0,63
37,15,-100,20,0,63
37,16,-102,20,0,63
37,17,-107,20,0,63
37,18,-105,20,0,63
37,19,-104,20,0,63
38,0,-95,20,0,62
38,1,-91,20,0,62
38,2,-101,20,0,62
38,3,-110,20,0,62
38,4,-103,20,0,62
38,5,-104,20,0,62
38,6,-107,20,0,62
38,7,-93,20,0,62
38,8,-94,20,0,62
38,9,-109,20,0,62
38,10,-105,20,0,62
38,11,-110,20,0,62
38,12,-94,20,0,62
38,13,-95,20,0,62
38,14,-100,20,0,62
38,15,-92,20,0,62
38,16,-99,20,0,62
38,17,-108,20,0,62
38,18,-98,20,0,62
38,19,-94,20,0,62
39,0,-91,20,0,61
39,1,-109,20,0,61
39,2,-100,20,0,61
39,3,-106,20,0,61
39,4,-98,20,0,61
39,5,-103,20,0,61
39,6,-96,20,0,61
39,7,-110,20,0,61
39,8,-107,20,0,61
39,9,-98,20,0,61
39,10,-92,20,0,61
39,11,-100,20,0,61
39,12,-107,20,0,61
39,13,-103,20,0,61
39,14,-100,20,0,61
39,15,-100,20,0,61
39,16,-97,20,0,61
39,17,-96,20,0,61
39,18,-91,20,0,61
39,19,-108,20,0,61
40,0,-103,20,0,60
40,1,-106,20,0,60
40,2,-108,20,0,60
40,3,-95,20,0,60
40,4,-98,20,0,60
40,5,-106,20,0,60
40,6,-96,20,0,60
40,7,-107,20,0,60
40,8,-92,20,0,60
40,9,-104,20,0,60
40,10,-110,20,0,60
40,11,-92,20,0,60
40,12,-91,20,0,60
40,13,-108,20,0,60
40,14,-108,20,0,60
40,15,-107,20,0,60
40,16,-109,20,0,60
40,17,-102,20,0,60
40,18,-107,20,0,60
40,19,-106,20,0,60
41,0,-98,20,0,59
41,1,-108,20,0,59
41,2,-96,20,0,59
41,3,-95,20,0,59
41,4,-109,20,0,59
41,5,-93,20,0,59
41,6,-105,20,0,59
41,7,-103,20,0,59
41,8,-99,20,0,59
41,9,-94,20,0,59
41,10,-101,20,0,59
41,11,-92,20,0,59
41,12,-109,20,0,59
41,13,-107,20,0,59
41,14,-97,20,0,59
41,15,-97,20,0,59
41,16,-103,20,0,59
41,17,-91,20,0,59
41,18,-102,20,0,59
41,19,-104,20,0,59
42,0,-93,20,0,58
42,1,-110,20,0,58
42,2,-106,20,0,58
42,3,-102,20,0,58
42,4,-96,20,0,58
42,5,-92,20,0,58
42,6,-99,20,0,58
42,7,-94,20,0,58
42,8,-92,20,0,58
42,9,-95,20,0,58
42,10,-98,20,0,58
42,11,-99,20,0,58
42,12,-101,20,0,58
42,13,-91,20,0,58
42,14,-104,20,0,58
42,15,-100,20,0,58
42,16,-94,20,0,58
42,17,-106,20,0,58
42,18,-101,20,0,58
42,19,-91,20,0,58
43,0,-110,20,0,57
43,1,-92,20,0,57
43,2,-101,20,0,57
43,3,-97,20,0,57
43,4,-109,20,0,57
43,5,-96,20,0,57
43,6,-92,20,0,57
43,7,-101,20,0,57
43,8,-104,20,0,57
43,9,-103,20,0,57
43,10,-103,20,0,57
43,11,-107,20,0,57
43,12,-103,20,0,57
43,13,-99,20,0,57
43,14,-98,20,0,57
43,15,-108,20,0,57
43,16,-109,20,0,57
43,17,-95,20,0,57
43,18,-100,20,0,57
43,19,-91,20,0,57
44,0,-100,20,0,56
44,1,-96,20,0,56
44,2,-100,20,0,56
44,3,-99,20,0,56
44,4,-97,20,0,56
44,5,-93,20,0,56
44,6,-96,20,0,56
44,7,-109,20,0,56
44,8,-109,20,0,56
44,9,-107,20,0,56
44,10,-110,20,0,56
44,11,-97,20,0,56
44,12,-108,20,0,56
44,13,-109,20,0,56
44,14,-103,20,0,56
44,15,-95,20,0,56
44,16,-94,20,0,56
44,17,-105,20,0,56
44,18,-106,20,0,56
44,19,-108,20,0,56
45,0,-98,20,0,55
45,1,-99,20,0,55
45,2,-93,20,0,55
45,3,-98,20,0,55
45,4,-96,20,0,55
45,5,-109,20,0,55
45,6,-104,20,0,55
45,7,-95,20,0,55
45,8,-93,20,0,55
45,9,-102,20,0,55
45,10,-95,20,0,55
45,11,-91,20,0,55
45,12,-108,20,0,55
45,13,-93,20,0,55
45,14,-107,20,0,55
45,15,-94,20,0,55
45,16,-96,20,0,55
45,17,-93,20,0,55
45,18,-101,20,0,55
45,19,-103,20,0,55
46,0,-98,20,0,54
46,1,-108,20,0,54
46,2,-109,20,0,54
46,3,-104,20,0,54
46,4,-107,20,0,54
46,5,-110,20,0,54
46,6,-108,20,0,54
46,7,-99,20,0,54
46,8,-105,20,0,54
46,9,-104,20,0,54
46,10,-105,20,0,54
46,11,-100,20,0,54
46,12,-100,20,0,54
46,13,-107,20,0,54
46,14,-96,20,0,54
46,15,-94,20,0,54
46,16,-94,20,0,54
46,17,-110,20,0,54
46,18,-98,20,0,54
46,19,-105,20,0,54
47,0,-102,20,0,53
47,1,-91,20,0,53
47,2,-105,20,0,53
47,3,-100,20,0,53
47,4,-94,20,0,53
47,5,-110,20,0,53
47,6,-92,20,0,53
47,7,-107,20,0,53
47,8,-93,20,0,53
47,9,-102,20,0,53
47,10,-108,20,0,53
47,11,-109,20,0,53
47,12,-100,20,0,53
47,13,-95,20,0,53
47,14,-102,20,0,53
47,15,-105,20,0,53
47,16,-95,20,0,53
47,17,-100,20,0,53
47,18,-93,20,0,53
47,19,-97,20,0,53
48,0,-102,20,0,52
48,1,-108,20,0,52
48,2,-107,20,0,52
48,3,-100,20,0,52
48,4,-93,20,0,52
48,5,-93,20,0,52
48,6,-103,20,0,52
48,7,-104,20,0,52
48,8,-101,20,0,52
48,9,-99,20,0,52
48,10,-99,20,0,52
48,11,-101,20,0,52
48,12,-100,20,0,52
48,13,-102,20,0,52
48,14,-91,20,0,52
48,15,-92,20,0,52
48,16,-102,20,0,52
48,17,-100,20,0,52
48,18,-97,20,0,52
48,19,-93,20,0,52
49,0,-100,20,0,51
49,1,-94,20,0,51
49,2,-91,20,0,51
49,3,-98,20,0,51
49,4,-99,20,0,51
49,5,-103,20,0,51
49,6,-93,20,0,51
49,7,-91,20,0,51
49,8,-93,20,0,51
49,9,-104,20,0,51
49,10,-98,20,0,51
49,11,-93,20,0,51
49,12,-109,20,0,51
49,13,-95,20,0,51
49,14,-102,20,0,51
49,15,-92,20,0,51
49,16,-106,20,0,51
49,17,-95,20,0,51
49,18,-94,20,0,51
49,19,-105,20,0,51
50,0,-104,20,0,50
50,1,-102,20,0,50
50,2,-96,20,0,50
50,3,-102,20,0,50
50,4,-102,20,0,50
50,5,-97,20,0,50
50,6,-92,20,0,50
50,7,-93,20,0,50
50,8,-95,20,0,50
50,9,-98,20,0,50
50,10,-96,20,0,50
50,11,-105,20,0,50
50,12,-110,20,0,50
50,13,-105,20,0,50
50,14,-93,20,0,50
50,15,-107,20,0,50
50,16,-98,20,0,50
50,17,-103,20,0,50
50,18,-108,20,0,50
50,19,-109,20,0,50
51,0,-97,20,0,49
51,1,-96,20,0,49
51,2,-91,20,0,49
51,3,-96,20,0,49
51,4,-109,20,0,49
51,5,-91,20,0,49
51,6,-105,20,0,49
51,7,-93,20,0,49
51,8,-96,20,0,49
51,9,-109,20,0,49
51,10,-108,20,0,49
51,11,-98,20,0,49
51,12,-109,20,0,49
51,13,-94,20,0,49
51,14,-98,20,0,49
51,15,-100,20,0,49
51,16,-108,20,0,49
51,17,-108,20,0,49
51,18,-91,20,0,49
51,19,-93,20,0,49
52,0,-96,20,0,48
52,1,-97,20,0,48
52,2,-95,20,0,48
52,3,-104,20,0,48
52,4,-99,20,0,48
52,5,-106,20,0,48
52,6,-100,20,0,48
52,7,-107,20,0,48
52,8,-99,20,0,48
52,9,-98,20,0,48
52,10,-93,20,0,48
52,11,-93,20,0,48
52,12,-91,20,0,48
52,13,-102,20,0,48
52,14,-99,20,0,48
52,15,-110,20,0,48
52,16,-103,20,0,48
52,17,-94,20,0,48
52,18,-100,20,0,48
52,19,-109,20,0,48
53,0,-100,20,0,47
53,1,-98,20,0,47
53,2,-105,20,0,47
53,3,-99,20,0,47
53,4,-101,20,0,47
53,5,-93,20,0,47
53,6,-109,20,0,47
53,7,-107,20,0,47
53,8,-99,20,0,47
53,9,-98,20,0,47
53,10,-110,20,0,47
53,11,-104,20,0,47
53,12,-92,20,0,47
53,13,-103,20,0,47
53,14,-106,20,0,47
53,15,-101,20,0,47
53,16,-98,20,0,47
53,17,-96,20,0,47
53,18,-106,20,0,47
53,19,-95,20,0,47
54,0,-91,20,0,46
54,1,-109,20,0,46
54,2,-98,20,0,46
54,3,-92,20,0,46
54,4,-101,20,0,46
54,5,-94,20,0,46
54,6,-100,20,0,46
54,7,-94,20,0,46
54,8,-106,20,0,46
